totlngth,Pop_other,footlgth,skullw,chest,hdlngth,Pop_Vic,sex_f,sex_m,belly,age
89.0,0.0,74.5,60.4,28.0,94.1,1.0,0.0,1.0,36.0,8.0
91.5,0.0,72.5,57.6,28.5,92.5,1.0,1.0,0.0,33.0,6.0
95.5,0.0,75.4,60.0,30.0,94.0,1.0,1.0,0.0,34.0,6.0
85.5,0.0,71.0,56.3,28.5,91.5,1.0,1.0,0.0,33.0,2.0
90.5,0.0,73.2,54.8,30.0,93.1,1.0,1.0,0.0,32.0,1.0
89.5,0.0,71.5,58.2,30.0,95.3,1.0,0.0,1.0,34.5,2.0
91.0,0.0,72.7,57.6,29.0,94.8,1.0,1.0,0.0,34.0,6.0
91.5,0.0,72.4,56.3,28.0,93.4,1.0,1.0,0.0,33.0,9.0
89.5,0.0,70.9,58.0,27.5,91.8,1.0,1.0,0.0,32.0,6.0
92.0,0.0,71.7,55.6,28.0,94.9,1.0,1.0,0.0,33.0,5.0
91.5,0.0,74.3,57.6,28.0,95.4,1.0,0.0,1.0,31.5,3.0
86.0,0.0,73.0,56.0,28.0,91.6,1.0,0.0,1.0,32.0,4.0
89.5,0.0,73.2,67.7,29.0,94.7,1.0,1.0,0.0,31.0,1.0
90.5,0.0,73.4,55.4,28.0,94.4,1.0,1.0,0.0,32.0,5.0
89.0,0.0,73.8,56.3,27.0,94.8,1.0,1.0,0.0,36.0,4.0
91.0,0.0,73.5,58.5,28.0,96.3,1.0,0.0,1.0,36.0,3.0
89.0,0.0,72.8,56.1,28.0,92.5,1.0,1.0,0.0,35.0,4.0
84.0,0.0,75.0,54.9,27.0,94.4,1.0,0.0,1.0,32.0,2.0
91.5,0.0,72.3,58.5,31.0,95.8,1.0,0.0,1.0,35.0,3.0
85.0,0.0,70.3,54.5,23.0,90.5,1.0,1.0,0.0,28.0,2.0
87.0,0.0,73.2,56.8,27.0,93.8,1.0,0.0,1.0,30.0,4.0
88.0,0.0,74.9,56.0,24.0,92.8,1.0,1.0,0.0,32.0,3.0
84.0,0.0,70.6,54.4,24.5,92.1,1.0,1.0,0.0,33.0,2.0
93.0,0.0,68.0,54.1,27.0,92.8,1.0,0.0,1.0,31.0,3.0
94.0,0.0,74.8,56.7,28.0,94.3,1.0,1.0,0.0,34.0,4.0
89.0,0.0,70.8,54.6,24.0,91.4,1.0,0.0,1.0,30.0,3.0
85.5,0.0,73.1,55.7,26.0,90.6,1.0,0.0,1.0,28.5,2.0
88.0,0.0,74.3,59.3,25.5,93.3,1.0,0.0,1.0,36.0,7.0
82.5,0.0,71.2,54.8,28.0,89.3,1.0,1.0,0.0,31.5,2.0
84.5,0.0,72.8,55.0,27.0,91.0,1.0,1.0,0.0,30.0,3.0
81.0,0.0,71.5,55.9,27.0,90.7,1.0,0.0,1.0,31.5,3.0
89.0,1.0,66.0,54.8,25.0,90.1,0.0,0.0,1.0,33.0,2.0
85.0,1.0,66.9,63.2,28.0,98.6,0.0,0.0,1.0,35.0,5.0
85.0,1.0,69.0,59.2,29.5,95.4,0.0,0.0,1.0,35.5,4.0
88.0,1.0,65.0,56.4,28.0,91.6,0.0,1.0,0.0,36.0,5.0
93.5,1.0,67.9,61.0,28.5,97.6,0.0,0.0,1.0,32.5,6.0
91.0,1.0,67.4,58.1,26.0,93.1,0.0,1.0,0.0,33.5,3.0
92.5,1.0,72.5,63.2,30.5,103.1,0.0,0.0,1.0,36.0,2.0
93.7,1.0,68.7,61.5,27.5,99.9,0.0,0.0,1.0,31.5,3.0
91.0,1.0,66.5,64.2,30.5,94.5,0.0,0.0,1.0,33.0,3.0
88.0,1.0,63.1,57.7,26.0,91.3,0.0,1.0,0.0,30.0,2.0
86.0,1.0,63.1,59.0,26.5,95.7,0.0,0.0,1.0,31.0,7.0
88.5,1.0,64.1,56.4,25.5,92.0,0.0,1.0,0.0,28.5,6.0
89.5,1.0,63.0,56.5,25.5,96.9,0.0,1.0,0.0,33.0,3.0
86.0,1.0,63.2,55.8,26.5,90.4,0.0,1.0,0.0,34.0,3.0
85.0,1.0,64.7,57.6,27.5,93.3,0.0,0.0,1.0,29.5,4.0
88.5,1.0,65.9,56.0,27.0,94.1,0.0,0.0,1.0,30.0,5.0
88.0,1.0,65.0,55.6,28.5,98.0,0.0,0.0,1.0,34.0,5.0
87.0,1.0,65.4,56.4,27.0,91.9,0.0,1.0,0.0,34.0,7.0
90.0,1.0,65.7,57.6,27.5,92.8,0.0,0.0,1.0,34.0,6.0
80.5,1.0,62.0,52.4,25.5,85.9,0.0,0.0,1.0,30.0,1.0
82.0,1.0,65.7,52.3,23.5,82.5,0.0,0.0,1.0,28.0,1.0
89.0,1.0,66.2,58.1,26.0,93.8,0.0,0.0,1.0,33.5,6.0
89.0,1.0,64.5,56.8,26.0,92.4,0.0,0.0,1.0,33.0,5.0
84.0,1.0,62.8,56.2,25.0,93.6,0.0,0.0,1.0,35.0,6.0
81.0,1.0,63.0,51.0,23.0,86.5,0.0,0.0,1.0,28.0,1.0
84.0,1.0,62.3,52.6,23.5,86.7,0.0,0.0,1.0,30.5,1.0
81.5,1.0,62.0,53.8,25.0,90.0,0.0,1.0,0.0,29.0,3.0
80.5,1.0,62.6,54.6,25.0,88.4,0.0,0.0,1.0,28.5,3.0
92.0,1.0,65.6,56.2,27.0,89.5,0.0,0.0,1.0,31.5,3.0
87.5,1.0,66.7,58.0,25.5,89.6,0.0,1.0,0.0,31.5,2.0
84.5,1.0,64.4,58.4,29.0,97.7,0.0,0.0,1.0,30.5,6.0
85.0,1.0,67.6,56.3,25.5,90.7,0.0,0.0,1.0,31.0,2.0
82.0,1.0,63.8,54.0,24.0,89.2,0.0,0.0,1.0,31.0,3.0
84.0,1.0,64.2,57.6,29.0,91.8,0.0,0.0,1.0,35.0,7.0
88.5,1.0,64.5,56.6,27.0,91.6,0.0,0.0,1.0,31.0,4.0
83.0,1.0,66.5,55.7,25.0,94.8,0.0,0.0,1.0,33.0,4.0
86.0,1.0,63.8,53.1,25.0,91.0,0.0,0.0,1.0,31.5,3.0
84.0,1.0,65.6,68.6,28.5,93.2,0.0,0.0,1.0,32.0,5.0
86.5,1.0,64.8,56.2,28.0,93.3,0.0,1.0,0.0,35.0,3.0
89.0,1.0,63.5,55.0,25.0,92.4,0.0,1.0,0.0,30.0,6.0
82.5,1.0,62.9,55.2,25.0,91.5,0.0,0.0,1.0,29.0,4.0
89.0,1.0,67.6,59.9,28.5,93.6,0.0,1.0,0.0,33.5,3.0
