Fjob_teacher,Fjob_health,Fjob_other,sex_F,Mjob_services,famsup_no,guardian_other,nursery_no,internet_no,Mjob_at_home,failures,school_MS,guardian_father,famrel,G1,romantic_no,sex_M,address_U,famsize_LE3,absences,paid_no,higher_no,nursery_yes,Medu,Pstatus_T,reason_other,reason_home,reason_course,schoolsup_yes,schoolsup_no,Fjob_services,Mjob_health,G2,famsup_yes,guardian_mother,famsize_GT3,reason_reputation,Mjob_other,romantic_yes,address_R,internet_yes,age,paid_yes,activities_no,school_GP,activities_yes,Fjob_at_home,Pstatus_A,higher_yes,Mjob_teacher,quantile_bin,target
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,5,5,1.0,0.0,1.0,0.0,4,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,6
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3,0.0,0.0,4,7,1.0,0.0,1.0,1.0,10,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,15,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,4,6,1.0,0.0,1.0,0.0,4,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,15,1.0,1.0,1.0,1.0,10,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,16,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,12,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,11
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4,6,1.0,0.0,1.0,0.0,6,1.0,0.0,1.0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,6
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,16,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,19
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,14,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,15
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,10,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,9
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,5,10,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,14,1.0,1.0,1.0,1.0,2,0.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,14
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,10,1.0,1.0,1.0,0.0,2,0.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,11
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,4,14,0.0,1.0,1.0,0.0,0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,16
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,13,1.0,0.0,1.0,0.0,6,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,14
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,5,8,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,5,6,1.0,1.0,1.0,0.0,16,1.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,5
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,3,8,1.0,1.0,1.0,1.0,4,0.0,0.0,1.0,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,13,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,15
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,5,12,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,15,1.0,1.0,1.0,1.0,2,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,13,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,12
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,10,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,8
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,12,1.0,1.0,1.0,0.0,2,0.0,0.0,1.0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,15,1.0,1.0,1.0,0.0,4,0.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,11,1.0,1.0,1.0,1.0,4,1.0,0.0,1.0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,11
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,10,0.0,1.0,1.0,0.0,16,0.0,0.0,1.0,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,16,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,11
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,17,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,17,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,15,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,16
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,5,8,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,12
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,5,12,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,3,8,1.0,0.0,1.0,0.0,0,1.0,0.0,1.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,15,1.0,1.0,1.0,1.0,2,1.0,0.0,1.0,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,18
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,15,0.0,1.0,0.0,0.0,7,1.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,15
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,12,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,4,14,1.0,0.0,0.0,0.0,8,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,15,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,13
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,5,12,0.0,1.0,1.0,1.0,8,1.0,0.0,0.0,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,12
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,19,1.0,1.0,1.0,0.0,2,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,18
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,5,8,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,8,0.0,0.0,1.0,1.0,8,0.0,0.0,1.0,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,6
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,11,1.0,0.0,1.0,1.0,12,1.0,0.0,1.0,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,11
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,19,1.0,1.0,1.0,0.0,4,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,20
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4,15,1.0,1.0,1.0,0.0,2,0.0,0.0,1.0,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,14
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,4,7,1.0,0.0,1.0,0.0,2,1.0,0.0,0.0,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,7
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,5,11,1.0,1.0,1.0,1.0,6,1.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,10
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,8,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,10,1.0,0.0,1.0,1.0,6,0.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,13
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,14,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,15
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3,14,1.0,1.0,1.0,0.0,4,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,9,1.0,1.0,1.0,1.0,2,1.0,0.0,1.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,9
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,15,1.0,0.0,1.0,0.0,2,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,16
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2,10,1.0,0.0,0.0,0.0,6,1.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,5,10,0.0,0.0,1.0,0.0,6,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,11
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,8,1.0,0.0,1.0,1.0,4,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,9
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,10,1.0,0.0,1.0,0.0,2,0.0,0.0,1.0,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,9
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,10,0.0,0.0,1.0,1.0,0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,16,1.0,0.0,1.0,1.0,2,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,13,0.0,1.0,1.0,0.0,4,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,12
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,8,1.0,0.0,0.0,1.0,2,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4,16,1.0,0.0,0.0,1.0,12,1.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,13,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,15
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,10,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,10
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,3,8,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,5
